verb,english,russian
être,to be,быть
avoir,to have,иметь
pouvoir,to be able,быть в состоянии
faire,to do,делать
mettre,"to put, place",класть
dire,"to say, to tell",сказать
devoir,to have to,быть обязанным
prendre,to take,брать 
donner,to make,дать
aller,to go,идти
vouloir,to want,хотеть
savoir,know (a fact),знать (факт)
falloir,to be necessary,нужно
voir,to see,смотреть
demander,to ask for,просить
trouver,to find,найти
rendre,to return,возвращать
venir,to come,приходить
passer,to pass,"провести (время), пройти"
comprendre,to understand,понимать
rester,to stay,оставаться
tenir,"to hold, to keep",держать
porter,"to wear, to carry",носить
montrer,to show,показывать
continuer,to continue,продолжать
penser,to think,"думать о, задумать"
suivre,to follow,следовать
connaître,to know (person or place),знать (человека)
croire,to believe,верить
commencer,to begin,начать
compter,to count,считать
entendre,to hear,слышать
attendre,to wait,ждать
remettre,"to put, to replace","сдать, отложить, передать"
appeler,to call (out to somebody),"звать, позвонить"
permettre,to permit,разрешить
occuper,to occupy,занимать
devenir,to become,становиться
partir,to leave,уходить
décider,to decide,решить
arriver,to arrive,прибыть
servir,to serve,служить
sembler,to seem,казаться
revenir,to come back,возвращаться
laisser,to let,"оставить, позволить"
recevoir,to receiver,получать
répondre,to answer,ответить
vivre,to live,жить
rappeler,"to call back, to recall","напомнить, перезвонить"
présenter,to present,"показывать, представлять"
