verb,russian,je,tu,il/elle/on,nous,vous,ils/elles
tenir,держать,tiens,tiens,tient,tenons,tenez,tiennent
s'abstenir,воздерживаться,m'abstiens,t'abstiens,s'abstient,nous abstenons,vous abstenez,ils s'abstiennent
appartenir,принадлежать,appartiens,appartiens,appartient,appartenons,appartenez,appartiennent
contenir,содержать,contiens,contiens,contient,contenons,contenez,contiennent
détenir,удерживать/обладать,détiens,détiens,détient,détenons,détenez,détiennent
entretenir,поддерживать,entretiens,entretiens,entretient,entretenons,entretenez,entretiennent
maintenir,поддерживать,maintiens,maintiens,maintient,maintenons,maintenez,maintiennent
obtenir,получать,obtiens,obtiens,obtient,obtenons,obtenez,obtiennent
retenir,удерживать,retiens,retiens,retient,retenons,retenir,retenant
soutenir,поддерживать,soutiens,soutiens,soutient,soutenons,soutenez,soutiennent
venir,приходить,viens,viens,vient,venons,venez,viennent
advenir,случаться,advient,advient,advient,advenons,advenez,adviennent
circonvenir,обходить,conviens,conviens,conviens,convenons,convenez,conviennent
contrevenir,нарушать,contreviens,contreviens,contrevient,contrevienons,contrevienez,contreviennent
convenir,соответствовать,conviens,conviens,conviens,convenons,convenez,conviennent
devenir,становиться,deviens,deviens,devient,devenons,devenez,deviennent
disconvenir,отрицать,disconviens,disconviens,disconvient,disconvenons,disconvenez,disconviennent
intervenir,вмешиваться,interviens,interviens,intervient,intervenons,intervenez,interviennent
obvenir,получать,obviens,obviens,obvient,obvenons,obvenez,obviennent
parvenir,достигать,parviens,parviens,parvient,parvenons,parvenez,parviennent
prévenir,предупреждать,préviens,préviens,prévient,prévenons,prévenez,préviennent
provenir,происходить,proviens,proviens,provient,provenons,provenez,proviennent
redevenir,снова становиться,redeiens,redeiens,redeient,redevenons,redevenez,redeiennent
se ressouvenir,вспоминать,me ressouviens,te ressouviens,se ressouvient,nous ressouvenons,vous ressouvenez,se ressouviennent
revenir,возвращаться,reviens,reviens,revient,revenons,revenez,reviennent
se souvenir,помнить,me souviens,te souviens,se souvient,nous souvenons,vous souvenez,se souviennent
subvenir,предоставлять,subviens,subviens,subvient,subvenons,subvenez,subviennent
survenir,наступать,surviens,surviens,survient,survenons,survenez,surviennent
-,-,-,-,-,-,-,-
acquérir,приобретать,acquiers,acquiers,acquiert,acquérons,acquérez,acquièrent
conquérir,завоевывать,conquiers,conquiers,conquiert,conquérons,conquérez,conquièrent
quérir,получать,quiers,quiers,quiert,quérons,quérez,quièrent
reconquérir,повторно завоевывать,reconquiers,reconquiers,reconquiert,reconquérons,reconquérez,reconquièrent
requérir,требовать,requiers,requiers,requiert,requérons,requérez,requièrent
-,-,-,-,-,-,-,-
sentir,чувствовать,sens,sens,sent,sentons,sentez,sentent
consentir,соглашаться,consens,consens,consent,consentons,consentez,consentent
pressentir,предчувствовать,pressens,pressens,pressent,pressentons,pressentez,pressentent
ressentir,ощущать,ressens,ressens,ressent,ressentons,ressentez,ressentent
mentir,лгать,mens,mens,ment,mentons,mentez,mentent
démentir,опровергать,démentis,démentis,démentit,démentissons,démentissez,démentissent
partir,уезжать,pars,pars,part,partons,partez,partent
départir,разделить,dépars,dépars,départ,départons,départez,départent
repartir,расходиться,repars,repars,repart,repartons,repartez,repartent
