verb,english,russian
abaisser,to lower,опускаться
abasourdir,"to daze, bewilder","ошеломить, сбить с толку"
abattre,to knock down,сбивать с ног
abolir,to abolish,отменить
absoudre,to absolve,освобождать от ответственности
s'abstenir,to abstain,воздерживаться
accepter,to accept,принимать
acclamer,"to cheer, acclaim","подбадривать, приветствовать"
accompagner,to accompany,сопровождать
accorder,to admit,признать
accourir,to hurry,торопиться
accrocher,to hang (up),вешать
accueillir,to welcome,приветствовать
accuser,"to accuse, acknowledg","обвинять, признавать"
acheter,to buy,купить
achever,to achieve,добиваться
acquérir,to acquire,приобретать
adjoindre,to appoint,назначать
admettre,to admit,признавать
admirer,to admire,восхищаться
adorer,to adore,обожать
adresser,to address,обращаться
advenir,to happen,происходить
affaiblir,to weaken,ослабевать
agacer,to annoy,раздражать
agir,to act,действовать
aider,to help,помогать
aimer,"to like, to love","нравиться, любить"
ajouter,to add,добавлять
aller,to go,идти
aménager,to fit,подходить
amener,to take,брать
amuser,to amuse,развлекать
animer,to bring to life (a party),оживить (вечеринку)
annoncer,to announce,объявлять
apercevoir,to see,видеть
apparaître,to appear,появляться
appartenir,to belong,принадлежать
appeler,to call,звать
apporter,to bring,приводить
apprendre,to learn,учиться
app. par coeur,to memorize,запоминать
approcher,to approach,подходить
approuver,to approve (of),одобрять (о)
armer,to arm,вооружиться
arracher,to pull up/out,подтягиваться/выходить
arraisonner,to hail,приветствовать
arranger,to arrange,договариваться
arrêter,"to stop, arrest","останавливать, арестовывать"
arriver,to arrive,прибыть
assaillir,to assail,нападать
asseoir,to sit down,садиться
assister,to attend,присутствовать
assurer,to assure,заверять
astreindre,to compel,принуждать
attaquer,to attack,нападать
atteindre,to attain,достигать
attendre,to wait for,ждать
attirer,to attract,привлекать
attraper,to catch,поймать
augmenter,to increase,увеличиваться
avancer,to advance,продвигаться
aventurer,to venture,решаться
avoir,to have,иметь
avoir besoin,to need,нуждаться
avoir raison,to be right,быть правильным
baisser,to lower,опускаться
balancer,to sway,качаться
balayer,to sweep,взметать
bâtir,to build,строить
battre,to beat,бить
bavarder,to chat,болтать
bêler,to whine (like a sheep),блеять
bénir,to bless,благословлять
blaguer,to joke,шутить
blâmer,to blame,обвинять
blanchir,to bleach,отбеливать
blesser,"to hurt, offend","обидеть, оскорбить"
boire,to drink,пить
bouger,to move,двигаться
bouillir,to boil,кипеть
briser,to break,сломаться
brosser,to brush,чистить
broyer,to grind,измельчать
brûler,to burn,гореть
cacher,to hide,прятать
casser,to break,ломаться
causer,"to chat, cause","болтать, вызывать"
céder,to give up,сдаваться
ceindre,to put on,надевать
célébrer,to celebrate,праздновать
cesser,to cease,прекратить
changer,to change,меняться
chanter,to sing,петь
charger,to load,грузить
chasser,"to hunt, chase","охотиться, преследовать"
cheminer,to walk on,идти
chercher,to look for,искать
chérir,to cherish,беречь
choisir,to choose,выбирать
chuchoter,to whisper,шептать
circoncire,to circumcise,обрезать
circonscrire,to contain,сдерживать
circonvenir,to circumvent,обходить
clore,to close,закрывать
coller,to stick,засовывать
combattre,to combat,бороться
commander,to order,приказывать
commencer,"to begin, to start","начинать, приступать"
commettre,to commit,совершать
comparaître,to appear,появляться
comparer,to compare,сравнивать
compléter,to complete,завершать
comprendre,to understand,понимать
compter,"to count, intend","рассчитывать, намереваться"
concevoir,to conceive,задумываться
conclure,to conclude,делать выводы
concourir,to compete,соревноваться
conduire,to drive,управлять
confire,to preserve,сохранять
confondre,to confuse,запутать
conjoindre,to unite,объединяться
connaître,to know,знать
conquérir,to conquer,покорять
conseiller,to recommend,рекомендовать
consentir,to consent,соглашаться
considérer,to consider,рассматривать
consommer,to consume,потреблять
construire,to construct,строить
contenir,"to contain, to fit","содержать, соответствовать"
conter,to recount,пересказывать
continuer,to continue,продолжать
contraindre,to compel,принуждать
contredire,to contradict,противоречить
contrevenir,to contravene,противоречить
contrôler,to control,контролировать
convaincre,to convince,убеждать
convenir,to convene,созывать
correspondre,to correspond,соответствовать
corriger,to correct,исправлять
corrompre,to corrupt,развращать
coucher,to put to bed,укладывать спать
coudre,to sew,шить
couper,to cut,резать
courir,to run,бежать
coûter,to cost,обходиться
couvrir,to cover,покрывать
craindre,to fear,бояться
créer,to create,создавать
crier,to shout,кричать
croire,to believe,верить
cueillir,to gather,собираться
cuire,to cook,готовить
culpabiliser,to make one feel guilty,заставить человека чувствовать себя виноватым
danser,to dance,танцевать
débattre,to debate,спорить
décevoir,to disappoint,разочаровать
déchirer,to rip,порвать
décider,to decide,решать
déclore,to reopen,открывать заново
déconfire,to be beaten,быть избитым
découdre,to unpick,распаковывать
décourager,to discourage,обескураживать
découvrir,to discover,обнаружить
décrire,to describe,описывать
se dédire,to retract,втягивать
déduire,to deduce,делать выводы
défaillir,to faint,терять сознание
défaire,to undo,отменить
défendre,to defend,защищаться
défricher,to lay groundwork,заложить основу
dégager,to free,освободить
déjeuner,to have lunch,обедать
demander,to ask for,просить
déménager,to move,переезжать
demeurer,"to live, stay","жить, оставаться"
démolir,to demolish,сносить
dénoncer,to denounce,осуждать
dépasser,to exceed,превышать
départir,to accord,согласовывать
dépêcher,to hurry,торопиться
dépeindre,to depict,изображать
dépendre,to depend,зависеть
dépenser,to spend,тратить
déplaire,to displease,вызывать недовольство
déranger,to disturb,беспокоить
descendre,to descend,спускаться
désirer,"to desire, to wish","желать, хотеть"
désobéir,to disobey,не подчиняться
dessiner,to draw,рисовать
déteindre,to bleach,отбеливать
détenir,to hold,держать
détester,to hate,ненавидеть
détourner,to divert,отвлекать
détruire,to destroy,уничтожить
développer,to develop,развиваться
devenir,to become,становиться
dévêtir,to undress,раздеваться
deviner,to guess,догадаться
devoir,to have to,быть вынужденным
différer,to differ,отличаться
diminuer,to diminish,уменьшаться
dîner,to have dinner,ужинать
dire,to say,говорить
diriger,to direct,направлять
discourir,to discourse,рассуждать
discuter,to discuss,обсуждать
disjoindre,to disconnect,отсоединяться
disparaître,to disappear,исчезать
dissoudre,to dissolve,распускаться
divorcer,to divorce,разводиться
donner,to give,отдавать
dormir,to sleep,спать
doubler,to pass,пройти
douter,to doubt,сомневаться
échapper,to escape,сбежать
échouer,to fail,потерпеть неудачу
éclore,to hatch,вылупиться
éconduire,to dismiss,уволить
écouter,to listen,слушать
écraser,to crush,раздавить
écrire,to write,писать
effacer,to erase,стирать
effrayer,to frighten,пугать
égayer,to entertain,развлекать
élever,to raise,воспитывать
élire,to elect,избирать
éloigner,to move away,удалиться
embrasser,"to kiss, embrace","целовать, обнимать"
emmener,to take,брать
émoudre,to sharpen,точить
emparer,to impare,исказить
empêcher,to prevent,предотвращать
employer,"to employ, use","использовать, применять"
empreindre,to imprint,отпечатывать
emprunter,to borrow,одалживать
enclore,to enclose,заключать
encourager,to encourage,поощрять
encourir,to incur,нести расходы
endormir,to fall asleep,засыпать
enduire,to coat,покрывать
enfreindre,to infringe,нарушать
s’enfuir,to run away,убегать
engager,to bind,связывать
enjoindre,to enjoin,предписывать
enlever,to remove,удалять
ennuyer,"to bore, annoy","надоедать, раздражать"
énoncer,to state,заявлять
s'enquérir,to inquire,спрашивать
enregistrer,to record,записывать
enseigner,to teach,учить
s'ensuivre,to ensue,вытекать
entendre,to hear,слышать
enterrer,to bury,хоронить
entraîner,"to involve, to pull","вовлекать, втягивать"
entreprendre,to undertake,предпринимать
entrer,to enter,входить
entretenir,to look after,присматривать
entrouvrir,to half-open,полуоткрывать
envoler,to take flight,взлететь
envoyer,to send,посылать
épeler,to spell,заклинать
épouser,to marry,жениться
épreindre,to juice,выжимать сок
éprouver,to test; to feel,испытывать; чувствовать
équivaloir,to equal,равняться
espérer,to hope,надеяться
essayer,to try,пытаться
essuyer,to wipe,вытирать
estimer,to estimate,оценивать
établir,to establish,установить
éteindre,"to extinguish, turn off","погасить, выключить"
étendre,to stretch,растягивать
étonner,to astonish,удивлять
étourdir,"to stun, daze",ошеломить
être,to be,быть
étreindre,to embrace,обнимать
étudier,to study,изучать
évaluer,to evaluate,оценивать
éviter,to avoid,избегать
exagérer,to exaggerate,преувеличивать
exclure,to exclude,исключать
excuser,to excuse,оправдывать
exiger,to demand,требовать
exister,to exist,существовать
expliquer,to explain,объяснять
explorer,to explore,исследовать
exprimer,to express,выражать
faiblir,to weaken,ослабевать
fâcher,to get angry,сердиться
faillir,to lack,испытывать недостаток
faire,"to make, do","делать, совершать"
falloir,to be necessary,быть необходимым
feindre,to feign,притворяться
féliciter,to congratulate,поздравлять
fendre,"to split, crack","раскалываться, трескаться"
fermer,to close,закрывать
feuilleter,to leaf through,листать
fier,to depend on,зависеть от
finir,to finish,закончить
fixer,to fix,исправить
fonder,to found,найти
fondre,to melt,растаять
forcer,to force,заставлять
forclore,to debar,запрещать
fouiller,to dig deeply,глубоко копать
fournir,"to furnish, provide","снабжать, обеспечивать"
frapper,to knock,стучать
frémir,to shudder,вздрагивать
frire,to fry,жариться
fuir,to flee,бежать
fumer,to smoke,курить
gagner,"to win, earn, gain","выиграть, заработать, получить"
garder,to keep,хранить
gaspiller,to waste,тратить
gâter,to spoil,портить
geindre,to groan,стонать
geler,to freeze,замерзать
gêner,to bother,беспокоиться
gérer,to manage,справляться
goûter,to taste,попробовать на вкус
grandir,to grow,расти
gratter,"to scratch, grate","царапать, тереть"
grêler,to hail,град
grimper,to climb,карабкаться
gronder,to scold,ругать
guérir,to cure,лечить
habiller,to dress,одеваться
habiter,to live,жить
haïr,to hate,ненавидеть
hésiter,to hesitate,колебаться
hoqueter,to hiccup,икать
ignorer,"to be unaware of, ignor","не знать, не замечать"
imposer,to impose,навязывать
inclure,to include,включать
indiquer,to indicate,указывать
induire,to mislead,вводить в заблуждение
informer,to inform,информировать
inquiéter,to worry,беспокоиться
inscrire,to write down,записывать
insister,to insist,настаивать
instruire,to instruct,инструктировать
interdire,to forbid,запрещать
intéresser,to interest,интересоваться
interroger,to interrogate,допрашивать
interrompre,to interrupt,прерывать
intervenir,to intervene,вмешиваться
interroger,to question,задавать вопросы
introduire,to introduce,представлять
inventer,to invent,придумывать
inviter,to invite,приглашать
jaillir,to spurt out,разглагольствовать
jaser,to chatter,болтать
jaunir,to turn yellow,пожелтеть
jeter,to throw,бросать
joindre,to join,присоединиться
jouer,to play,играть
jouir,to enjoy,наслаждаться
juger,to judge,судить
jurer,"to swear, vow","клясться, обещать"
kidnapper,to kidnap,похищать
klaxonner,to honk,сигналить
lâcher,to loosen,ослаблять
laisser,to leave,уходить
lancer,to throw,бросать
laver,to wash,мыть
lever,"to lift, stand","поднимать, стоять"
lire,to read,читать
loger,to lodge,поселиться
louer,to rent,арендовать
luire,to shine,сиять
maigrir,to lose weight,похудеть
maintenir,to maintain,поддерживать
manger,to eat,есть
manquer,to miss,скучать
marcher,"to walk, to function","ходить, функционировать"
maudire,to curse,проклинать
méconnaître,to be unaware of,не знать
médire,to malign,злословить
méfier,to mistrust,не доверять
mélanger,to mix,смешивать
menacer,to threaten,угрожать
mener,to lead,руководить
mentir,to lie,лгать
méprendre,to mistake,ошибаться
mépriser,to scorn,презирать
mériter,to merit,заслужить
mesurer,to measure,измерять
mettre,to put,ставить
modérer,to moderate,смягчаться
monter,to climb,подниматься
montrer,to show,показывать
moquer,to mock,насмехаться
mordre,to bite,кусаться
moudre,"to mill, grind","измельчать, размалывать"
mouiller,to wet,мокнуть
mourir,to die,умирать
nager,to swim,плавать
naître,to be born,родиться
naviguer,to navigate,ориентироваться
négliger,to neglect,пренебрегать
négocier,to negotiate,договариваться
neiger,to snow,убирать снег
nettoyer,to clean,чистить
neutraliser,to neutralize,нейтрализовать
nier,to deny,отрицать
noircir,to blacken,чернить
nommer,to name,называть
noter,to write down,записывать
nouer,"to tie, knot","завязывать, завязывать узлом"
nourrir,to feed,кормить
noyer,to drown,топить
nuire,to harm,причинить вред
obéir,to obey,подчиняться
obliger,to oblige,обязывать
obtenir,"to obtain, to get","получать, добывать"
occlure,to occlude,закрывать
occuper,to occupy,занимать
offrir,to offer,предлагать
oindre,to anoint,помазать
omettre,to omit,опускать
oser,to dare,осмелиться
oublier,to forget,забыть
